descriptor,model,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
morgan_r1_count_1024,hgb,0.7341084419422824,0.018807386869543707,0.546392701050377,0.014842738942853033,0.5699682523587178,0.027334045916098233
morgan_r1_count_2048,hgb,0.735404608622481,0.018565029968629913,0.545070017412275,0.015943859852729475,0.5685054256719353,0.026415016909663885
morgan_r2_count_1024,hgb,0.7415985214204845,0.01465854736667455,0.5544514972870509,0.013398618309200097,0.5614786045741761,0.020207908465935117
morgan_r2_count_2048,hgb,0.7434218056846283,0.01700858240383399,0.5578255689292069,0.01311750836213003,0.55925590214703,0.022775233627912467
morgan_r1_count_512,hgb,0.7497485757802468,0.01837804942540647,0.5555651130279019,0.017988666147333077,0.5515461976168974,0.02720689421860675
atom_pair_count_2048,hgb,0.7581550833390771,0.016500186724826078,0.5666163165550451,0.017599548189386013,0.541742371997376,0.020635716845851065
atom_pair_count_1024,hgb,0.7600812607564528,0.010441146524375774,0.5677604218345327,0.012407408927978677,0.5394225996826323,0.017161702366994967
morgan_r2_count_512,hgb,0.7644695956767411,0.017009426185579452,0.5738837053765284,0.013503198123469687,0.534046138793949,0.02203294838258544
morgan_r2_bits_2048,hgb,0.7673507509218283,0.007776813420531282,0.5793730902690636,0.0098077429610559,0.5303345413890905,0.02201730233348413
morgan_r1_bits_2048,hgb,0.7693646988003,0.005081452494861754,0.5773166934974164,0.006374566909093962,0.5277960060170809,0.023097754612617
atom_pair_count_512,svr,0.775454120830702,0.014919257726684648,0.5695471826501063,0.013028435114742977,0.5207609583393553,0.01595016886802283
morgan_r1_bits_1024,hgb,0.7765917051509053,0.007864264211169971,0.5864443148874006,0.007877055989642633,0.5191940671445412,0.0169390551187077
morgan_r2_bits_1024,hgb,0.7801737614063484,0.009961332247945844,0.591531790743583,0.01071372251875277,0.5145699982138836,0.02234743303549186
atom_pair_count_512,hgb,0.7822686858162862,0.022147134739162255,0.5848175987710831,0.018831637140176362,0.5123202186256148,0.021475214245885253
atom_pair_count_1024,svr,0.7830774271896892,0.018017642499119187,0.5762777782703253,0.014731551651228773,0.511519640444407,0.01096901641397762
rdkit_phys_props,svr,0.785860312171138,0.014579099372369068,0.5646675657406609,0.008896140956441536,0.5073245744045,0.026667470521877568
rdkit_count_2048,svr,0.7867736065106368,0.0019258550574593294,0.5830402043776735,0.002641771948093785,0.506280460883504,0.02151683082010962
morgan_r1_count_1024,rf,0.7870751506341008,0.02169541677681645,0.5921205962994491,0.012699962525477173,0.5058647749723066,0.02976365273976525
morgan_r1_count_2048,rf,0.7899983006337346,0.022256508168055744,0.5901984743014502,0.014565371061745965,0.5025174559180854,0.024271889271746304
morgan_r2_count_2048,rf,0.7906003800212367,0.01863084550249156,0.5929797855554377,0.013140682614589668,0.5015470185208084,0.02606474617311872
atom_pair_bits_2048,hgb,0.7912755732515648,0.019697294089032997,0.592536408247782,0.015240605321260484,0.5006677056229234,0.026945842618611396
morgan_r1_bits_512,hgb,0.7913398610549238,0.01509632860033291,0.5926023072522704,0.01600267211096483,0.5006816100501641,0.022980307520787013
rdkit_phys_props,rf,0.7945768904829279,0.009431591191329355,0.5846532144159643,0.007807451863108901,0.49613541740101247,0.02865304133731322
rdkit_count_1024,svr,0.7954872245638771,0.0015561999055447497,0.5890010011170596,0.0031210330354173163,0.49521070238500464,0.023526555225860647
morgan_r1_count_512,rf,0.79728848396263,0.018543599282576883,0.6002161825802175,0.011249510736653178,0.493243713585276,0.023144587603853357
atom_pair_bits_2048,svr,0.7982111524015387,0.017428701885108863,0.5871977502480286,0.017032047177858622,0.4924266696994744,0.011391755655203688
